[-0.8416852494329741, -0.0074181278557968]
[0.8417443707171322, 0.008072396613222784]
[-0.3350197662157264, -0.387310491628249]
[0.3625788899079457, 0.3876194545995942]
[0.8212027312370616, -0.059468764147694524]
[-0.7824626047578231, 0.10668370358140208]
[0.7930335336232833, -0.09601324436618854]
[-0.7625344766599903, 0.124657582657417]
[-0.7091199004837406, 0.16322162141286803]
[0.7701560064219921, -0.11818720069548377]
[-0.6845440505211308, 0.178038302287911]
[0.3795719938564296, -0.29672323332296907]
[0.7357991576745794, -0.14524068715325913]
[-0.610297559271714, 0.21590525732349536]
[-0.46125169860110665, 0.2727376024801767]
[0.6942987144184939, -0.17225072901539232]
[-0.4037908926034951, -0.3866709605710588]
[-0.4295368825274283, -0.38507505080613175]
[-0.4431614276032446, -0.3838550728807744]
[-0.46634815348199526, -0.38113068421490587]
[0.4858704387167553, 0.378518228041887]
[0.5109995910504036, 0.37384617021485006]
[0.5241290701731396, 0.37097192745450536]
[-0.49706730334720783, -0.37623420564452703]
[-0.5161414045835252, -0.37249799675680845]
[-0.5366501233937573, -0.3677651441172464]
[-0.5572529804693308, -0.36221866111195156]
[0.5456701982545366, 0.3655588928390078]
[0.5652733647081668, 0.3598542707332506]
[-0.5712637820396923, -0.357891682149813]
[0.5843610040404399, 0.3535195614855094]
[-0.589918203330616, -0.35146019111304055]
[0.602630681488466, 0.3466765771975088]
[-0.6078645494404874, -0.3445021291208027]
[0.6201442744276502, 0.33933597492883827]
[-0.6251312784646836, -0.33702896106941965]
[0.6369361661382054, 0.3315113442280632]
[0.6530300748725977, 0.3232158426918838]
[-0.641734192672224, -0.32905295011642927]
[0.6686325499253082, 0.31434806908434226]
[-0.657536096607543, -0.3206687546910387]
[0.6824311222908008, 0.3057374461255211]
[0.6970923999938315, 0.2957178483144197]
[-0.6727140722942819, -0.31180680577240943]
[0.7109532233963005, 0.2853185300254364]
[-0.6871682644767694, -0.3025456681345334]
[0.7239578750053323, 0.27462174713304477]
[0.7362773456325081, 0.26352030121983605]
[-0.7010206875894921, -0.292824361803002]
[-0.4157399624972735, 0.28665817043274194]
[-0.7141986193733825, -0.28270747784789313]
[-0.7252891413896206, -0.2734283991997932]
[-0.7372076241331401, -0.2625874620960352]
[-0.7485995282558204, -0.2512595397012988]
[0.748025458341438, 0.2519126536570458]
[-0.3629549204737912, 0.30125210506024314]
[-0.7590647911345936, -0.2398638668389347]
[0.7584445763480033, 0.24063217870756332]
[0.6682909362364935, -0.18705225874235543]
[-0.30770349892526433, 0.3149515343199948]
[-0.7688112993371649, -0.22823212951737765]
[0.3335648997360978, -0.3086266676498769]
[0.7682097438008417, 0.22904976331261273]
[-0.8401123607043782, 0.011132360348661526]
[-0.25118600213977577, 0.3274632434012407]
[0.7771381643361371, 0.21744180136620975]
[0.2887887056956399, -0.31916036333607956]
[-0.194862663801086, 0.33855389200986497]
[-0.8356796704969033, 0.02871526435751747]
[-0.7779556517956198, -0.21624904276600265]
[0.7855442349692827, 0.20543941673497768]
[0.22968186044623826, -0.3316754364965268]
[0.7933647453348538, 0.1931317503565932]
[-0.13740895593138186, 0.3485539534219316]
[-0.7862501281880588, -0.20429711430289524]
[-0.7938948099504023, -0.19216378711531548]
[0.17503548431218388, -0.34194069186538906]
[-0.828684360238158, 0.045791442816951335]
[0.8006903646209684, 0.18036087301286494]
[-0.07927551400172429, 0.3574084690529906]
[-0.8011389537034166, -0.17943570691494823]
[0.6373775916362632, -0.20303913203793278]
[0.11731249142326616, -0.3515170747157073]
[0.8401786916423539, -0.011074683118120682]
[-0.020619100535906352, 0.3651212778009783]
[-0.8077836413957415, -0.1664263539323865]
[0.8073952386826355, 0.16733591851270074]
[0.059724674459148475, -0.3598487339211789]
[0.6028326476479318, -0.21924320890417065]
[0.8133976219524753, 0.1542698414837748]
[-0.8137638755275786, -0.15329916487801343]
[-0.8191112776250915, 0.06282426150907937]
[0.03845937053732202, 0.3717011956055288]
[-0.8191433515886594, -0.1399605906152295]
[0.8188200125282414, 0.1409479821711945]
[-0.004788305534880252, -0.367833849562656]
[0.5663110156320832, -0.2348123124761458]
[0.8236879319802133, 0.12730742281811772]
[0.8360061780797059, -0.02786730085375334]
[-0.823978338211288, -0.12627325311210147]
[0.09755303095420971, 0.3771276392526898]
[-0.06107789534847362, -0.3736435331079112]
[0.8280029012964966, 0.11332089400902393]
[-0.8282360790802888, -0.11231591925109735]
[0.5281456927848192, -0.24964740500577404]
[-0.8071757301763445, 0.0795876922411779]
[-0.11946116318112766, -0.3785771860514563]
[-0.5768811106040097, 0.23047556523837737]
[0.831736982651649, 0.09905893057763149]
[0.15651770565047834, 0.3814162652666975]
[-0.8319230676087934, -0.09805813630543413]
[0.8083209977591881, -0.07806148952144448]
[0.8348817990205323, 0.08455344806595043]
[-0.1786250740682396, -0.38246077932250583]
[0.4882336152000417, -0.2638255262232808]
[-0.8350046547144614, -0.08364983367626998]
[0.8296202558965105, -0.04389683730154849]
[0.21507972555104668, 0.3845774470506858]
[-0.5406221486692613, 0.2449574779130219]
[0.8374702010489763, 0.06959408319962732]
[-0.8375235067634131, -0.0688906466986685]
[-0.2378885019520943, -0.3852347090621337]
[0.38380824069053765, 0.38750520992501014]
[0.4467417642643204, -0.277310996540909]
[0.8394606938357022, 0.05431488900037558]
[-0.8394800650729121, -0.05364736281939967]
[-0.733135619765691, 0.14716149336766426]
[-0.793185856168433, 0.09586114873299136]
[0.40469629825838904, 0.38686803623296695]
[-0.776934159491108, 0.11202546012434235]
[-0.6405837740881801, 0.20149764358977398]
[0.419836642544745, 0.3860366424541268]
[-0.5021476360395604, 0.2590337965681007]
[0.2738973459046202, 0.3866565565648301]
[0.751235105111004, -0.13380375583742352]
[0.7309353247995485, -0.1487231935228885]
[-0.29717729915325103, -0.3868928696260255]
[0.8408561719517863, 0.03852112117767547]
[0.43578166611830227, 0.38481338608131793]
[-0.8408496813196654, -0.03781938336976669]
[-0.6845440505211295, 0.1780383022879117]
[0.7930335336232573, -0.09601324436621454]
[-0.7476590489187454, 0.1365186050299698]
[0.4518089871252232, 0.3832137092309517]
[0.7791140014875677, -0.10990550760525976]
[0.8212027312370608, -0.05946876414769581]
[0.40529371532967584, -0.2896433289369033]
[0.7122450595706589, -0.16121123754819908]
[0.6893546449956321, -0.1751731024117368]
[0.6449490531239352, -0.19921287672554847]
[0.6137214021293664, -0.21425458094286112]
[0.5791174294145118, -0.22946807226297067]
[0.8416654515512723, 0.0210998546185191]
[0.841573694307708, 8.533820471202377e-5]
[0.8388353680660382, -0.01766981621721333]
[0.8328318195224524, -0.03631897268629603]
[0.5415219444775773, -0.24454929437745554]
[0.8118587981833141, -0.07330071494985357]
[-0.8416267761658016, -0.020454885039891207]
[-0.8415145730235499, -8.533820471202377e-5]
[-0.8385912999738694, 0.01852083794327639]
[-0.8321879149488777, 0.03786059042436639]
[-0.8230597638955854, 0.056191207766744855]
[-0.8117075804623336, 0.07349491934628015]
[-0.7980093169946068, 0.0904453179829034]
[0.5016569945824335, -0.25914708342750803]
[0.46025467261598696, -0.27299871938741144]
[-0.6606360628937068, 0.19117856281463186]
[-0.6214226946484768, 0.21068525246831643]
[-0.586380685591246, 0.22640435331736483]
[-0.5508853625584954, 0.24093388491939713]
[-0.5135254216834707, 0.25494676946765965]
[-0.4736514555272056, 0.26865890366745343]
[-0.43038606116295425, 0.28227655471283863]
[-0.38314089494406606, 0.2958244109430923]
[-0.3316537019474203, 0.30917695407107904]
[-0.2761219013286108, 0.32209792853465113]
[-0.21916300737829705, 0.33390168392448216]
[-0.1608142434555784, 0.34460236457089016]
[-0.10223307291774128, 0.3540247866041724]
[-0.04307410725208364, 0.36227375864104433]
[0.016534231444347524, 0.36935792404655937]
[0.3299937712543307, 0.3875984998956102]
[0.07625422222970164, 0.3752633416008548]
[0.46847886547886486, 0.38114188568527013]
[0.13600368467669613, 0.3800092297445861]
[0.36679188128692214, -0.3001731741287022]
[0.19534678505753944, 0.3835902138680049]
[0.2548982502954073, 0.38606108693157304]
[-0.7239521967546886, 0.15347821676234058]
[0.7557056210924613, -0.130214632349399]
[0.8243683165330242, -0.05386973907165667]
[0.2938063943986328, -0.31801599084461013]
[0.2477906000900952, -0.32798484484430834]
[0.7972979670041423, -0.0912136028648099]
[0.17503548431218388, -0.34194069186538906]
[0.13137562067793587, -0.34927890907389075]
[0.0725532901463783, -0.3580736102149833]
[0.4166730652973766, -0.2863254633982703]
[-0.6814481953836425, 0.1798887566070174]
[0.014023615019403534, -0.3656084755169537]
[-0.044205566796694594, -0.3719722703917547]
[-0.10061045056726034, -0.37706483220505127]
[-0.15879365425608877, -0.38124284426315463]
[-0.21791743798339172, -0.3843824997859216]
[-0.2774963603226765, -0.3864238272447873]
[-0.33675649306084254, -0.3873296578031492]
[-0.3825975313856962, -0.38721056038753]
[0.31412645808295575, 0.3874002055951593]
[-0.4175059540086303, -0.3859417767456499]
[0.8118587981833146, -0.07330071494985245]
[-0.4490279649523872, -0.3833176341024317]
[-0.4721376557877356, -0.3803996672635185]
[-0.4782022093575372, -0.37941512622204104]
[0.3807954765522924, 0.38755303157799814]
[0.36679188128692214, -0.3001731741287022]
[0.5170062998701124, 0.37254830566990327]
[0.5505472720536141, 0.36428368973619485]
[0.570012534394235, 0.3584287895307303]
[0.5888545507517062, 0.3519821260598929]
[0.6068968926842585, 0.34503354749714993]
[0.6241938976692606, 0.3375942705875329]
[0.6407775203918388, 0.3296775518305449]
[0.656751005647882, 0.32125351129129764]
[0.672151746680494, 0.31230274490421767]
[0.6782672841524718, 0.3083968334736061]
[0.690661673006072, 0.30022236804114155]
[0.7042033072904927, 0.2905021276743388]
[0.7176411128309347, 0.27993641977060213]
[0.7304251376684148, 0.26891467308624484]
[0.7425288196756994, 0.2574711803243006]
[0.7536016226201806, 0.24599050215454057]
[0.7639755827910677, 0.2341850334863363]
[0.77340788687385, 0.22239683910169863]
[0.7822327997589396, 0.2102759721516586]
[0.7903463890195691, 0.19799409552599]
[0.7979192357730921, 0.1853148207379476]
[0.8048747339246605, 0.17236203724575913]
[0.8111926046208368, 0.1591972897597617]
[0.8169323442193787, 0.14571807024486463]
[0.8220490230595496, 0.13204420231316177]
[0.8265784254554022, 0.11810154714766585]
[0.8305201720730623, 0.103892290401287]
[0.8338757900836787, 0.08940735378396929]
[0.8366652457773397, 0.07451932169141427]
[0.838845452180739, 0.059398713012268275]
[0.8404395463438467, 0.04379663159525059]
[0.841793905100851, 0.017710913648486544]
[0.5011897246377506, 0.37580063336052805]
[-0.5588680151591776, -0.36177838126446793]
[-0.5758630775527104, -0.35644957066362626]
[-0.5943079999281062, -0.3499018726944905]
[-0.6120542387579705, -0.3428333233566835]
[-0.6291268282422066, -0.33525550018181255]
[-0.6454780403816893, -0.32721105818223234]
[-0.6611018738985762, -0.3187340815743278]
[-0.6760587251435615, -0.30981154768611974]
[-0.69034804289702, -0.30046602411786255]
[-0.7040041228157315, -0.29068820856319044]
[-0.7168386575564935, -0.2806407319621731]
[-0.7228067973741708, -0.2755470342298899]
[-0.7328673664999878, -0.2666292061621582]
[-0.7436824702933346, -0.25626203189129826]
[-0.754371297266907, -0.24509044163722948]
[-0.7645493611300184, -0.23343341017069383]
[-0.7740903134565915, -0.22143277158499214]
[-0.7828276882901241, -0.20933937926594917]
[-0.7909236864447501, -0.19698654894173553]
[-0.7984460137028898, -0.18428789582776273]
[-0.8052995915800603, -0.17141911764911894]
[-0.8115659135239016, -0.15825493876962776]
[-0.8172456987236081, -0.14480133517523866]
[-0.8223347266260239, -0.13107536207130735]
[-0.826811614654532, -0.11715084506817677]
[-0.8307176514465927, -0.10290864685048831]
[-0.8340140140683657, -0.08849355975148603]
[-0.8367456208409396, -0.07370831998047526]
[-0.8388888640390345, -0.05861184812459227]
[-0.8404438010924995, -0.04308965760028585]
[-0.8417500879652644, -0.017058340422802572]
[-0.5384640710042784, -0.36734076669003]
[0.2938063943986328, -0.31801599084461013]
[0.252943382160918, -0.32690409790171615]
[-0.5179196621397905, -0.372147180793186]
[0.20624356172923872, -0.33619119304045003]
[0.3940500331423779, 0.3872665933957823]
[0.4145958917031171, 0.38634718372228455]
[0.4304509358036445, 0.38525078941904756]
[0.44606014759784907, 0.3838192284820625]
[0.4621208866533573, 0.3819716656875786]
[0.47863852438358184, 0.379660125221718]
[0.14574280881580867, -0.3469203691222154]
[-0.48894128328287473, -0.3776717070395305]
[0.08864464690843775, -0.35577389422247824]
[-0.40476614769617614, -0.3866445890409104]
[-0.35637839290285006, -0.38742714031683745]
[0.7122450595706589, -0.16121123754819908]
[0.4166730652973766, -0.2863254633982703]
[0.31412645808295575, 0.3874002055951593]
[-0.4219253189899299, -0.3856979752332936]
[0.5148068290658566, 0.37303508226296]
[0.49479446943862704, 0.3769729119008831]
