[-0.8417987454554353, -0.016643780254331664]
[0.8416502776515036, 0.006584026240245011]
[-0.34258130105788376, -0.38746271880150185]
[0.3430080615091107, 0.38751255732741563]
[0.8390973908096355, -0.01598046993221436]
[0.8301277801811957, -0.04231811751575387]
[0.819278352107601, -0.06236194282199936]
[0.8029207680286858, -0.08469629465840067]
[0.6148200824955674, -0.21383153334128524]
[-0.8402201916269006, 0.011208430324881391]
[-0.6809221672937121, 0.180197831912162]
[-0.6293217867041274, 0.20704588340491936]
[-0.5938471014054597, 0.2233166028483995]
[0.5841265856529132, -0.2274103989125701]
[-0.39840761862522656, -0.386951121971589]
[-0.42275429200132086, -0.38576457606390346]
[0.3850860184856111, 0.3873481329835693]
[0.4038078366309743, 0.38678088392204657]
[-0.4407771934290523, -0.3842887509414089]
[0.42706180393158055, 0.3853843159724204]
[-0.4632753302034003, -0.3817560127097428]
[0.4492089261965877, 0.38334557017726634]
[0.4706365785915534, 0.38068154114255215]
[-0.48517140556973937, -0.3785467086411326]
[0.4919193489532714, 0.3773237643668095]
[-0.5061293343007671, -0.37475073415217997]
[0.5125713437714738, 0.3733518904522899]
[0.5326327986146162, 0.36877845233070916]
[-0.5265661029122364, -0.37032250923054244]
[0.5524369458801011, 0.3635234331813624]
[-0.5462069067535397, -0.3653477423951288]
[0.5716302558633166, 0.35767931591602986]
[-0.5653344787183773, -0.35977573023362996]
[0.5902250785198453, 0.35125607510408985]
[-0.5839365180408423, -0.35361589488845857]
[0.6082229266021417, 0.34426448288056477]
[-0.5422780047737531, 0.24436880326868704]
[-0.6020057715344265, -0.34687533737185405]
[0.5420201675651066, -0.2444262171689745]
[0.625623350817534, 0.3367141861125238]
[0.6417320197523302, 0.3289680174037759]
[-0.619013661839398, -0.3397920876295313]
[0.6574328894704002, 0.3206423514205652]
[-0.49278832302497866, 0.26233787769645933]
[-0.635233157290839, -0.3323067536980606]
[-0.836182104568048, 0.02736933437459954]
[0.4940060229130334, -0.2618697081943473]
[0.6725404606693877, 0.31183126741679956]
[0.686477523844538, 0.3029295438478363]
[0.6988225800226737, 0.2943334028702511]
[-0.6505956824492902, -0.32449583279112504]
[0.712146407365482, 0.28423154186311317]
[-0.44365313050066657, 0.278345231804384]
[-0.6650880859569995, -0.31641896739128095]
[-0.6775811223606059, -0.3088314009433131]
[-0.6911112720459989, -0.2999086354461854]
[0.4452264111389137, -0.2778067417482386]
[0.7247921827163268, 0.2737516073211226]
[-0.827335487061674, 0.04870702114496783]
[0.7362319042666792, 0.2634118348799266]
[-0.7042208893728227, -0.290485943660446]
[0.7470544063681874, 0.2527599748290399]
[-0.7163856944661628, -0.28097062210687573]
[-0.7279627492003207, -0.2711308740843843]
[-0.739103209611109, -0.26083889537261573]
[0.39666460981698926, -0.29213107976394126]
[-0.39412016673304273, 0.2928932418160004]
[-0.7497430880158152, -0.25014129427772713]
[-0.8177820808598759, 0.06501238188548553]
[0.7571496530891642, 0.24193053001157105]
[0.3473479714411305, -0.30529168120162287]
[0.766426536340651, 0.23108000308315613]
[-0.7595089692475772, -0.23944493868635452]
[-0.3448671494775789, 0.3059694504324113]
[-0.8047793118733012, 0.08269019772903263]
[0.7840770180862375, -0.10515033998187018]
[-0.7686345231959155, -0.22855258131940304]
[0.2964269025383235, -0.3175685023420137]
[0.7751927164828223, 0.21989045274529406]
[-0.2945333376886142, 0.3180496651188378]
[-0.7772183274584261, -0.21737093911298278]
[0.7833409853436462, 0.2085170312465301]
[-0.7888835595489944, 0.1004943558313216]
[0.24438487630144912, -0.3288653001250291]
[-0.2428916748324741, 0.32921902618906373]
[-0.785261583602216, -0.2059088964552449]
[0.7652460355250583, -0.12237863096001056]
[0.7910083498774592, 0.19678037028721485]
[0.1913334047968287, -0.3391845332094737]
[-0.7927266815006987, -0.19423863930788698]
[-0.18994195302016847, 0.3394857052290523]
[0.7981030529608946, 0.184825514424509]
[-0.7708010863492298, 0.11769797730735854]
[-0.79968259635881, -0.18226542406019697]
